Date,open,high,low,close,volume
30-08-2023,4.666,4.689,4.507,4.537,204618.675
31-08-2023,4.537,4.559,4.219,4.272,474728.291
01-09-2023,4.272,4.301,4.135,4.225,317376.022
02-09-2023,4.211,4.279,4.199,4.253,138364.014
03-09-2023,4.263,4.303,4.222,4.253,124733.597
04-09-2023,4.265,4.336,4.185,4.254,236736.901
05-09-2023,4.273,4.316,4.186,4.258,171379.36
06-09-2023,4.258,4.3,4.154,4.276,201761.868
07-09-2023,4.261,4.315,4.221,4.299,197138.496
08-09-2023,4.284,4.346,4.202,4.258,191597.274
09-09-2023,4.247,4.287,4.225,4.257,81127.211
10-09-2023,4.245,4.259,4.093,4.156,260473.189
11-09-2023,4.156,4.17,3.899,3.993,466289.757
12-09-2023,3.972,4.104,3.945,3.978,327880.386
13-09-2023,3.993,4.112,3.948,4.003,238114.832
14-09-2023,4.003,4.094,3.948,4.076,279087.365
15-09-2023,4.053,4.178,4.039,4.136,236142.276
16-09-2023,4.136,4.239,4.125,4.19,181440.144
17-09-2023,4.19,4.2,4.03,4.055,178082.872
18-09-2023,4.078,4.221,3.999,4.103,297010.379
19-09-2023,4.109,4.175,4.075,4.149,261075.424
20-09-2023,4.159,4.17,4.058,4.133,164987.543
21-09-2023,4.133,4.17,4.001,4.009,177179.165
22-09-2023,4.019,4.039,3.98,4.021,154084.687
23-09-2023,4.021,4.04,3.976,4.035,100423.879
24-09-2023,4.019,4.059,3.966,3.998,107321.888
25-09-2023,3.986,4.1,3.935,4.071,233665.088
26-09-2023,4.071,4.106,3.974,4.021,209143.867
27-09-2023,4.021,4.086,3.964,3.99,212604.909
28-09-2023,3.99,4.101,3.983,4.077,176099.508
29-09-2023,4.077,4.128,4.053,4.072,207536.791
30-09-2023,4.078,4.129,4.066,4.107,110404.419
01-10-2023,4.099,4.296,4.099,4.258,210754.592
02-10-2023,4.258,4.316,4.07,4.111,346618.724
03-10-2023,4.123,4.166,4.045,4.074,154559.267
04-10-2023,4.074,4.083,3.966,4.049,245901.376
05-10-2023,4.049,4.107,3.992,4.016,171946.075
06-10-2023,4.016,4.096,4,4.071,140441.199
07-10-2023,4.067,4.116,4.044,4.054,97296.286
08-10-2023,4.054,4.073,3.994,4.008,115591.254
09-10-2023,4.008,4.036,3.757,3.877,307400.489
10-10-2023,3.877,3.912,3.756,3.813,199784.915
11-10-2023,3.813,3.828,3.693,3.73,212047.378
12-10-2023,3.73,3.743,3.613,3.675,267734.773
13-10-2023,3.676,3.781,3.654,3.714,164760.222
14-10-2023,3.722,3.781,3.708,3.741,100562.41
15-10-2023,3.741,3.793,3.688,3.754,156566.911
16-10-2023,3.754,3.904,3.73,3.791,362661.505
17-10-2023,3.775,3.801,3.635,3.661,215144.459
18-10-2023,3.661,3.728,3.619,3.652,165208.585
19-10-2023,3.659,3.684,3.557,3.651,224478.087
20-10-2023,3.644,3.819,3.624,3.714,372942.091
21-10-2023,3.723,3.991,3.698,3.905,364300.482
22-10-2023,3.917,3.978,3.802,3.953,339042.987
23-10-2023,3.953,4.373,3.915,4.369,844470.6555
24-10-2023,4.369,4.437,4.094,4.19,928742.297
25-10-2023,4.182,4.367,4.137,4.293,503165.642
26-10-2023,4.284,4.466,4.145,4.232,538100.526
27-10-2023,4.232,4.242,4.051,4.134,435540.511
28-10-2023,4.134,4.233,4.126,4.175,282109.956
29-10-2023,4.187,4.357,4.115,4.31,271869.804
30-10-2023,4.32,4.538,4.23,4.526,435080.465
31-10-2023,4.517,4.605,4.271,4.446,528056.259
01-11-2023,4.451,4.844,4.313,4.723,689252.462
02-11-2023,4.723,4.814,4.508,4.627,741873.351
03-11-2023,4.639,4.655,4.427,4.606,499151.507
04-11-2023,4.606,4.787,4.575,4.69,359752.378
05-11-2023,4.68,4.925,4.65,4.769,826433.219
06-11-2023,4.769,5.01,4.668,4.962,799855.472
07-11-2023,4.962,5.114,4.705,4.921,644132.777
08-11-2023,4.931,5.098,4.852,5.03,702063.843
09-11-2023,5.03,5.29,4.489,5.077,1087976.688
10-11-2023,5.077,5.339,4.977,5.305,877164.313
11-11-2023,5.298,5.686,5.086,5.552,1106971.9
12-11-2023,5.552,5.865,5.334,5.714,1082135.713
13-11-2023,5.701,5.894,5.327,5.34,929755.195
14-11-2023,5.342,5.518,4.995,5.189,819717.408
15-11-2023,5.189,5.642,5.175,5.558,849320.465
16-11-2023,5.567,5.816,5.267,5.356,1031969.944
17-11-2023,5.342,5.495,5.032,5.248,665891.441
18-11-2023,5.231,5.303,4.983,5.297,497885.804
19-11-2023,5.297,5.494,5.175,5.436,523729.772
20-11-2023,5.436,5.582,5.247,5.295,585074.37
21-11-2023,5.306,5.33,4.814,4.85,737138.664
22-11-2023,4.871,5.299,4.829,5.172,522787.755
23-11-2023,5.184,5.22,5.083,5.138,271608.421
24-11-2023,5.145,5.298,5.12,5.234,381031.621
25-11-2023,5.234,5.394,5.202,5.33,286164.07
26-11-2023,5.315,5.415,5.144,5.315,358807.641
27-11-2023,5.315,5.379,5.027,5.151,485995.306
28-11-2023,5.151,5.312,5.101,5.274,510775.067
29-11-2023,5.275,5.389,5.142,5.159,478851.465
30-11-2023,5.159,5.594,5.113,5.474,755168.574
01-12-2023,5.474,5.526,5.366,5.472,378690.792
02-12-2023,5.472,5.618,5.445,5.567,364703.029
03-12-2023,5.567,5.643,5.413,5.556,422506.214
04-12-2023,5.556,5.741,5.421,5.637,741001.357
05-12-2023,5.637,5.959,5.496,5.913,1055970.698
06-12-2023,5.908,6.211,5.774,6.036,1038007.561
07-12-2023,6.036,6.301,5.889,6.232,823277.037
08-12-2023,6.249,6.933,6.164,6.831,1088964.296
09-12-2023,6.844,7.703,6.824,7.104,1567134.796
10-12-2023,7.111,7.361,6.939,7.328,671878.262
11-12-2023,7.33,7.362,6.285,6.704,1171229.654
12-12-2023,6.709,7.397,6.693,7.141,1336406.57
13-12-2023,7.141,7.672,6.609,7.62,1148031.482
14-12-2023,7.578,7.777,6.965,7.499,1110109.112
15-12-2023,7.499,7.57,6.924,6.946,1003497.299
16-12-2023,6.937,7.349,6.864,7.091,649523.471
17-12-2023,7.107,7.181,6.753,6.779,662666.764
18-12-2023,6.779,6.888,6.366,6.877,725793.573
19-12-2023,6.877,7.056,6.61,6.715,545371.851
20-12-2023,6.701,7.138,6.615,6.943,808826.352
21-12-2023,6.962,8.439,6.909,8.439,2145046.235
22-12-2023,8.416,8.582,7.83,7.956,1408163.332
23-12-2023,7.964,8.452,7.57,8.337,1168966.723
24-12-2023,8.311,9.214,8.304,8.62,2055621.65
25-12-2023,8.62,9.399,8.501,9.183,1604286.56
26-12-2023,9.18,9.602,8.384,8.822,1291841.686
27-12-2023,8.822,9.023,8.401,8.681,940983.567
28-12-2023,8.697,8.919,8.244,8.418,915260.109
29-12-2023,8.434,8.698,8.059,8.285,1086636.965
30-12-2023,8.294,8.496,8.1,8.346,472665.308
31-12-2023,8.34,8.656,8.025,8.199,574636.053
01-01-2024,8.199,8.639,8.045,8.587,509564.684
02-01-2024,8.587,8.814,8.321,8.42,665063.095
03-01-2024,8.42,8.592,6.459,7.626,1011530.63
04-01-2024,7.617,7.998,7.457,7.867,713072.128
05-01-2024,7.9,7.951,7.197,7.443,723564.364
06-01-2024,7.443,7.446,6.947,7.143,462359.825
07-01-2024,7.143,7.332,6.807,6.9,466670.498
08-01-2024,6.9,7.519,6.504,7.486,825149.292
09-01-2024,7.494,7.53,6.9,7.135,635502.597
10-01-2024,7.148,8.095,6.805,7.987,873385.155
11-01-2024,7.987,8.584,7.854,8.142,1132179.971
12-01-2024,8.142,8.219,7.31,7.556,814690.386
13-01-2024,7.556,7.765,7.37,7.626,438917.479
14-01-2024,7.626,7.705,7.31,7.316,347460.044
15-01-2024,7.346,7.697,7.306,7.497,415661.368
16-01-2024,7.497,7.69,7.324,7.489,438639.595
17-01-2024,7.498,7.606,7.253,7.346,406536.303
18-01-2024,7.346,7.39,6.819,7.015,575408.601
19-01-2024,7.015,7.052,6.559,6.887,553873.809
20-01-2024,6.887,6.951,6.759,6.903,297774.47
21-01-2024,6.906,6.977,6.801,6.804,240938.668
22-01-2024,6.814,6.844,6.282,6.325,786730.189
23-01-2024,6.325,6.458,5.963,6.349,712093.774
24-01-2024,6.343,6.557,6.259,6.451,482463.677
25-01-2024,6.466,6.63,6.339,6.429,391497.18
26-01-2024,6.443,6.742,6.349,6.662,523002.64
27-01-2024,6.662,6.769,6.524,6.659,380894.801
28-01-2024,6.681,6.863,6.56,6.862,504025.372
29-01-2024,6.872,7.297,6.698,7.054,870595.229
30-01-2024,7.045,7.087,6.815,6.831,283479.267
31-01-2024,6.831,6.887,6.584,6.666,187238.444
01-02-2024,6.666,6.822,6.533,6.794,134033.783
02-02-2024,6.794,7.028,6.757,6.957,137277.067
03-02-2024,6.957,7.019,6.811,6.824,79427.138
04-02-2024,6.824,6.836,6.644,6.663,66751.024
05-02-2024,6.674,6.976,6.582,6.739,155134.87
06-02-2024,6.731,6.838,6.636,6.82,118603.219
07-02-2024,6.804,6.97,6.669,6.934,138400.567
08-02-2024,6.934,7.111,6.864,7.008,195831.373
09-02-2024,7.01,7.342,6.961,7.196,230964.784
10-02-2024,7.184,7.295,7.058,7.216,119400.277
11-02-2024,7.216,7.351,7.071,7.1,155239.002
12-02-2024,7.097,7.385,6.971,7.338,233360.344
13-02-2024,7.338,7.464,7.126,7.343,201919.031
14-02-2024,7.356,7.713,7.26,7.644,259089.731
15-02-2024,7.644,7.964,7.513,7.771,291637.793
16-02-2024,7.794,7.875,7.531,7.635,180765.775
17-02-2024,7.645,7.715,7.326,7.706,137398.248
18-02-2024,7.706,7.934,7.666,7.86,144937.146
19-02-2024,7.86,8.144,7.645,7.989,302707.364
20-02-2024,7.989,8.119,7.394,7.727,326763.863
